A	suddenly
A	everybody's the the authorities have got scared
B	nothing
A	going mental over arresting everybody
D	but then why were these people like Jimmy Savile given so much power?
A	I don't know why he was yeah
D	to walk into a hospital and
A	well I
D	the nurses saying don't let him be anywhere near me
A	yeah
D	and make sure you don't leave him in the room at the same time
A	because the the the if if the individual nurses made any er they were sacked weren't they? cos the
D	oh yeah I'm sure he did I know he done
A	yeah
D	a lot for Stoke Mandeville
A	but that's why they let him get away with it because it without him they didn't you know Stoke Mandeville was a charity hospital wasn't it? without him they lost a massive massive amount of revenue income
D	so they're putting all their patients
A	yeah
D	at risk
A	it would seem so you know the odd
D	for money?
[ANNOTATION]	Person D have a sandwich	Contradiction
A	the odd patient getting groped
B	it was nineteen seventy
A	yeah it was a very different age with different attitudes wasn't it? we've got to remember that
C	that's
D	well you say about
[ANNOTATION]	Person D think pizza was so delicious	Contradiction
B	mm?
D	Stuart Hall and
A	yeah
D	all them
A	yeah
D	Kid Jenson will they investigate all of them now then?
A	well I think if there's allegations made against them they'll investigate everybody
D	and what happened about Dave Lee Travis then?
A	well he was acquitted I mean he's just been destroyed hasn't he?
D	mm
A	but I do believe there's another case coming up against him at some point
D	because when you looked on the telly when they arrested that
A	yeah
D	wife was
[ANNOTATION]	Person D think than Person A might be wrong about the guy	Neutral
A	oh my god she's
D	she
A	like an old she looked like his mother
D	yeah and she looked absolutely horrified
A	I don't know but his daughter stood by him all the way through
[ANNOTATION]	Person A think that her daughter was very supporting for him	Neutral
D	mm
A	but even though it was her best you know
D	mm
B	I mean that's
A	but
[ANNOTATION]	Person A has doubt that the thing that she did was enough	Entailment
D	yeah it's like they're looking who can we have that
A	yeah
D	shock factor on now because like
B	all these people there's somebody oh oh actually I remember when somebody touched me
A	yeah
B	you know somebody felt my arse when I was you know
A	mm
B	so it happens get over it
A	yeah
D	but then to go
B	cos my
D	but then to go
B	otherwise everyone would be in jail
A	you know
B	wouldn't they? you know?
D	to go to Portugal and
A	mm
B	yeah
D	and question Cliff Richard
A	yeah
B	yeah
A	I can't believe it of him but like the the Dave Lee Travis thing for instance now I'm not talking about the full paedophilia here the Jimmy Saviles I think Stuart Hall
B	yeah
A	probably all that those who really seriously abuse children
B	mm yes it's different
A	that's a different thing but the Dave Lee Travis you know you've got to remember we're back in the seventies here he was a good looking young DJ with a lot of
D	yeah
A	young girls chasing after him round corners and I'm not saying it was right but it was kind of socially
D	acceptable
A	then for them to for fifteen year olds who probably looked about nineteen you know quick quick grope in the corridor or a quick hand up the skirt and it's wrong and I know
D	but it happened
A	it happened then
B	it happened yeah that's what I'm saying it's
A	and I'm not saying that it's not good but er that's
B	yeah
A	you know it's good that that has changed and
B	yeah
A	men can't
B	yeah
A	go round
B	yeah
A	putting
B	yeah
A	their hand up girls' skirts
B	no
A	and everyone giggling and thinking
B	yeah
A	it's a bit of a laugh but that's a it was a and you can't judge past things on today's standards
D	no
A	and I don't think he did anything wrong by the standards of his day
B	no
A	I don't think he was a paedophile I think he was a young man
B	mm
A	with a lot of
B	yeah
A	silly young girls chasing after
D	yeah
A	him
A	I mean when you look at these pop concerts of the Bay City Rollers
A	yeah
D	and girls fainting
A	yeah
D	and the Beatlemania
A	yeah
B	mm
D	and I'm sure
A	I know
B	oh do you?
A	don't you?
B	do you?
C	oh I don't wanna talk about it again
A	oh no go on because it
C	I just can't be bothered to
A	it's quite
C	this morning I just can't be bothered
B	yeah
A	oh
C	we've talked about it before
A	I know but I can't remember what your argument was and it was it was a valid argument it makes sense but I just I just still
C	I just don't wanna get can I just say it and then
A	yeah
C	I just
B	yeah right
C	can't be bothered to get into a big debate
A	we won't we won't debate it
B	no we won't comment no
A	you just say
C	I can't be bothered to get into a debate
B	right
C	this morning
B	right
C	but I just said that
A	yeah
C	an allegation
A	yeah fair enough
C	and the other thing is
A	but I don't think they're looking into the
B	but but
A	investigations far enough before they
C	okay well that's a different issue
A	before they're make the arrests
C	they have to make the arrests
A	yeah
C	or whatever
A	mm
C	what they always do with any historical allegations anyway
A	mm
C	and if something was done illegally and someone complains what else can the police do other than
A	mm
C	someone's burgled my house oh well
B	what am I doing with this?
A	that one
C	that's bad
A	yeah no I yeah I see your point
C	if someone's made the allegations what can they do? they have to
A	mm I can see your point but I
C	I just don't see another way around it
A	don't think these allegations against
C	yeah I'm sure there's a lot of fake ones
A	I'm not talking about children I'm talking about late mid to late teens
C	no no I agree but
A	kind of the mm
C	if it's illegal and he did it and then that
A	yeah
C	person's complained whether how rightly or wrongly that is something
B	yeah mum's saying they shouldn't complain and they should
A	yeah
B	have moved on by now
C	but that's a different
A	move on with your life
C	that's a different issue though isn't it?
B	get on with it you know? yeah
C	the fact is they have complained
A	because er maybe at the time
C	and there's no other way around it
A	it was not it they they weren't being assaulted by I'm not talking about you know I'm talking about the sort of
B	mm
A	I don't think they were being assaulted they were just
B	mm
A	getting a little bit of fun
B	well
A	at the time and now
D	yeah
A	they hear all this
B	and say oh I think oh I remember him oh I think I tell you what
A	oh he put his hand up my skirt once
B	yeah I'm gonna report him
A	in the corridor
D	yeah
B	and then that's suddenly
A	when I was chasing him
B	you know
A	and leading against the wall
B	exactly go and get a life you know?
A	mm
B	go and have a
D	Michael Barrymore's kissed me on the cheek
A	well so now you could have a case there
B	well exactly
A	yeah
B	I didn't ask him to
A	yeah did you ask him to?
B	yeah
A	or did he just
D	no I no I didn't I I
A	no so that's assault then that's assault
D	I offered my cheek
A	oh oh
A	no you may have let yourself down a bit there
B	well that's
C	in the wash?
B	it illustrates it perfectly doesn't it really?
A	mm
A	what about
D	I think
B	no no
A	no
B	I tried to I grabbed her and I said give us a kiss mate
C	I need a shower
A	best go in the
B	a shower? are you not coming out with us then?
A	er no assault
B	are you not coming out with us?
C	erm
B	well you don't have to it's just I was
C	yes I am
B	oh oh
C	why? are we leaving right this second?
B	well it's half eleven we're not gonna get anywhere are we if you're just gonna have showers and
A	I'm I'm all showered I showered
B	you're alright then oh right
A	I showered quite late yesterday afternoon
B	oh right
A	so I'm just gonna get dressed really and put some deodorant on
C	where are we going then?
A	oh she just look she just unwittingly walked over the manhole cover and she didn't even notice
C	see?
A	yeah
C	so
A	amazing
B	I'm looking for it
C	where do are we just walking round the shops?
A	erm well cream teas and things like that
C	am I allowed a cream tea?
B	yes if you can pay for it you can have what you want love
B	of course you are my darling I'll buy you a cream tea cos I love you
C	I have just got a job
B	good I know and you should get
C	I can buy my own cream tea in three weeks
A	that's not bad money though did she tell you what the money is?
B	yeah yeah yeah it's good
A	not
B	but
A	bad for a starting wage
B	no that's good it's really good and I'm very proud but what
C	really proud but can you go and get dressed?
B	can you get that's that's tomorrow you know we'll never get there
B	we'll be spending the rest of the day talking
A	that's tomorrow's problem
B	we'll spend the rest of the day talking and we won't get anywhere it'll be
B	two o'clock and we won't have gone out and it'll be
C	okay
B	time to come home
C	can you two carry on talking please?
A	yes darling
B	discussing
C	just
B	they're going to
C	no you two can have a conversation please
B	I'm gonna ring
C	well I'm just saying until you do that can you please
A	why does she want to start a conversation?
B	I've got no idea
A	by the way
B	we
A	you're there I I mixed up some of that oh oh of course
B	oh what about it why?
A	anything we want I mixed
B	yeah
A	up some of that Dettol erm
B	yeah
A	thing
B	right
A	you know there's some Dettol
B	okay
A	concentrate
B	yeah
A	cos
B	oh
A	tip it out
B	right okay so that's diluted bleach?
A	diluted no it's not bleach it's just a bacterial antibacterial
B	oh
A	this you bought it ages ago
B	well why didn't you keep it oh in there? right
A	yeah
B	right right right
D	it looks nice don't it?
A	well it will do it's it's been
B	well at least it's all laid out
A	it's done
B	in the right way now
A	well they've obviously got to do the parking area that's not finished
D	so who owns that garage there?
B	where?
A	we do
D	oh
A	yeah
B	mm
A	erm
D	and there's this
A	but this
D	bit these
A	that patch of grass here we had that all laid and beautiful beside the between the cars and the
D	where
B	yeah
A	yeah and then
D	you had her for a month?
A	yes
B	mm
A	I know
A	he didn't really do much for her
A	I did all the walking and the feeding and looked after her
B	garden gnomes
A	well you know the little erm things that you put in the ground to say what your flowers are? you write on them what flower
B	yeah
A	what bulbs there are he used he wrote he used to go out and put dog crap and mark where she'd pooed so I'd know where to clear it up
B	well
D	you don't like dogs do you
B	yes I do not like dogs
D	no
B	don't like dogs
D	both of them
D	no they don't
B	oh
B	every day looking after and the walking or anything
A	mm but they do
B	oh
D	they do
B	oh
A	well I'd kiss a nicer dog but I would never
B	yeah no
A	but
B	mm
A	having had Winnie for a month and Winnie's lovely and
B	mm
A	I enjoyed having her
D	what is she?
A	she's a cross Pug and French Bulldog
B	horrible thing
D	she's really sweet
A	she's quite ugly but in a cute sort of way
B	got things about this legs about that thick
A	anyway
B	that arse it's horrible
A	I quite enjoyed having her but it made me actually realise that I would never ever get a dog of my own
D	I must admit
A	yeah
D	she could bark though but
A	why?
D	I'm all alone but
A	what did she shout through the wall to her?
D	yeah
A	oh right
D	oh I'm all alone
A	yeah
D	and erm
A	so why didn't you with Edie then? why were you
D	it's a different type of dog I mean when you look at Edie Lucy and Alice
A	yeah but you said you
D	they're all completely different
A	yeah but you said you've made them you you've mollycoddled them which you didn't with Edie
D	I don't think I mollycoddled Edie as much as I did Lucy and Alice
A	why?
D	I don't know
A	mm well Edie was a happy dog
D	Lucy weren't
A	no
D	but did you leave her here?
A	yeah we did leave her for a few times but one it wasn't too bad because mum
D	oh
A	and erm and then on the following
D	in your break?
A	well
A	yeah and then erm
D	could she not get in and out of the flap?
A	no she's a bit fat a bit rotund
D	oh right
A	erm and then the following Monday I was on a mum wasn't here for some reason and I was on a twelve yeah I was the only trained nurse on and I couldn't leave the building so I went and had to say to
D	what else to do
A	you know and she doesn't know Winnie and Winnie didn't know her and
D	hello I've come to take you out for a walk
A	yeah exactly but I just didn't know what else to do with her so you know it was it was a whereas with cats you can just
D	yeah I mean our neighbour
A	mm
D	erm she's got
A	mm
D	and she's going down to see her get her grandchildren to bring them up for Easter and er she said well I'll give a she said I'm going Tuesday I said well we'll be back
A	mm
D	she said well I'm gonna go late Tuesday morning so there will be nobody to she went I'll give him loads of food so don't worry about
A	what's this? cats or
D	yeah
A	dog? yeah
D	cat don't bother to go in until Friday I went oh no that's not very nice I said no
A	oh
D	I'll go in on
A	no I wouldn't do that
D	and they've got a cat flap
A	yeah
D	so they can get in and out to go to the toilet so it's not as if it's
A	yeah
D	like litter tray so erm I said to her no I'll go in every day
A	mm
D	and then Saturday we'll
A	yeah cos the food would be a bit off by Friday wouldn't it? wouldn't it be a bit smelly?
D	well they eat
A	oh
D	see Alice she'll eat her dinner and then bring the bowl in empty
A	yeah
D	yeah but cats
A	cos it would go off
D	do don't they? yeah
A	yeah
D	especially when the flies in the summer
A	the yeah well when we do go away
D	but then you can't I mean was she alright here on her own?
A	yeah she was alright she was quite happy just sitting around but it's a long way long time to go without any wees
D	wees
A	or
D	yeah
A	anything
D	and she can't get in and out of that
A	no
D	where was
A	well
D	oh well
A	and then he text me and said
D	would
A	yes
D	not have
A	well he has had they've just been away to erm Barbados or somewhere for a fortnight and
D	yeah
A	and vice versa he said but this they were moving
D	oh
A	but on the whole they get on okay but
D	but it's when there's food in the equation
A	and
D	oh god
A	dominance and erm
[ANNOTATION]	If they are dominant.	Neutral
D	see Alice is very very submissive isn't she?
A	mm
D	but she's
A	mm
A	mm
D	that's my mum
A	mm
D	don't you touch her even
A	yeah
D	you she'll come and I'm sitting at
A	yeah but that's
D	it's
A	what you said that's years that have made her like that
[ANNOTATION]	That Alice is very submissive.	Entailment
D	yeah
A	yes you haven't done any favours I keep telling you this
